"동별(1)","항목",2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4
"동별(1)","항목",계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"합계","계",253777,6837,6399,4055,5779,35283,29219,27688,22580,18329,20192,25186,30433,14385,4413,1616,634,410,205,82,31,21,223613,5309,6118,4117,4777,32064,28312,24037,21251,16508,15849,20484,25615,11082,4837,1790,681,400,231,92,37,22,231358,4845,5821,4172,6022,37717,32318,23733,21374,17113,14631,19396,22552,12320,5632,2161,703,432,245,98,46,27,248378,4756,5837,4350,7931,43812,38360,24790,22352,18108,15010,18653,20398,13629,6278,2434,804,410,266,115,48,37
"합계","남자",121742,3495,3230,2101,2315,12436,11806,13589,11953,10050,10959,13157,15356,7360,2343,916,332,195,91,40,9,9,103903,2695,3110,2128,1980,10896,11009,11260,10999,8735,8415,10305,12606,5475,2528,1022,379,191,107,42,12,9,103499,2509,2955,2135,2341,11639,11864,10746,10891,8909,7679,9806,10986,6099,2926,1229,386,217,114,43,17,8,107958,2449,2973,2222,2897,13207,13480,10904,11254,9247,7743,9411,9963,6738,3240,1344,460,223,118,53,21,11
"합계","여자",132035,3342,3169,1954,3464,22847,17413,14099,10627,8279,9233,12029,15077,7025,2070,700,302,215,114,42,22,12,119710,2614,3008,1989,2797,21168,17303,12777,10252,7773,7434,10179,13009,5607,2309,768,302,209,124,50,25,13,127859,2336,2866,2037,3681,26078,20454,12987,10483,8204,6952,9590,11566,6221,2706,932,317,215,131,55,29,19,140420,2307,2864,2128,5034,30605,24880,13886,11098,8861,7267,9242,10435,6891,3038,1090,344,187,148,62,27,26
"종로구","계",9890,116,155,107,516,3348,1355,873,662,586,497,529,601,342,110,54,19,12,6,2,-,-,8806,109,152,124,271,2942,1372,736,631,560,455,464,508,262,119,61,18,12,7,3,-,-,10021,149,202,213,349,3192,1778,791,716,631,512,473,472,296,141,66,15,13,8,4,-,-,11182,186,222,214,489,3534,2196,899,743,704,516,507,396,292,166,64,26,14,9,4,1,0
"종로구","남자",4367,56,76,43,179,1189,610,431,354,328,259,286,275,162,67,30,11,8,2,1,-,-,3895,51,74,59,93,1020,620,363,335,303,242,242,243,121,71,36,11,7,3,1,-,-,4265,74,98,103,118,990,734,388,371,357,273,242,238,140,81,35,10,7,5,1,-,-,4597,97,103,110,175,994,843,453,388,363,289,272,209,152,84,34,15,10,4,2,0,0
"종로구","여자",5523,60,79,64,337,2159,745,442,308,258,238,243,326,180,43,24,8,4,4,1,-,-,4911,58,78,65,178,1922,752,373,296,257,213,222,265,141,48,25,7,5,4,2,-,-,5756,75,104,110,231,2202,1044,403,345,274,239,231,234,156,60,31,5,6,3,3,-,-,6585,89,119,104,314,2540,1353,446,355,341,227,235,187,140,82,30,11,4,5,2,1,0
"중구","계",9521,253,284,191,278,1810,1248,987,879,671,668,679,818,427,171,72,46,22,12,3,2,-,9085,193,292,218,240,1611,1381,967,882,672,608,621,698,340,197,82,44,24,10,3,2,-,9795,211,281,223,303,1798,1609,1027,907,718,617,650,650,410,213,98,36,26,12,4,-,2,10420,223,289,271,344,1835,1874,1092,943,735,666,661,633,426,230,120,28,27,16,5,0,2
"중구","남자",4667,129,143,104,117,764,559,508,487,397,344,333,389,208,106,39,23,10,5,2,-,-,4421,102,142,120,116,650,627,471,492,403,320,300,312,175,109,46,20,10,4,2,-,-,4615,114,141,110,126,673,687,500,478,426,330,321,307,200,116,52,17,11,5,1,-,-,4873,115,153,139,139,667,791,549,481,418,362,337,307,197,121,66,13,10,6,2,0,0
"중구","여자",4854,124,141,87,161,1046,689,479,392,274,324,346,429,219,65,33,23,12,7,1,2,-,4664,91,150,98,124,961,754,496,390,269,288,321,386,165,88,36,24,14,6,1,2,-,5180,97,140,113,177,1125,922,527,429,292,287,329,343,210,97,46,19,15,7,3,-,2,5547,108,136,132,205,1168,1083,543,462,317,304,324,326,229,109,54,15,17,10,3,0,2
