동별,연령별,시점,남자,여자
종로구,0~4세,2020. 3/4,56,60
종로구,0~4세,2021. 3/4,51,58
종로구,0~4세,2022. 3/4,74,75
종로구,0~4세,2023. 3/4,97,89
종로구,5~9세,2020. 3/4,76,79
종로구,5~9세,2021. 3/4,74,78
종로구,5~9세,2022. 3/4,98,104
종로구,5~9세,2023. 3/4,103,119
종로구,10~14세,2020. 3/4,43,64
종로구,10~14세,2021. 3/4,59,65
종로구,10~14세,2022. 3/4,103,110
종로구,10~14세,2023. 3/4,110,104
종로구,15~19세,2020. 3/4,179,337
종로구,15~19세,2021. 3/4,93,178
종로구,15~19세,2022. 3/4,118,231
종로구,15~19세,2023. 3/4,175,314
종로구,20~24세,2020. 3/4,1189,2159
종로구,20~24세,2021. 3/4,1020,1922
종로구,20~24세,2022. 3/4,990,2202
종로구,20~24세,2023. 3/4,994,2540
종로구,25~29세,2020. 3/4,610,745
종로구,25~29세,2021. 3/4,620,752
종로구,25~29세,2022. 3/4,734,1044
종로구,25~29세,2023. 3/4,843,1353
종로구,30~34세,2020. 3/4,431,442
종로구,30~34세,2021. 3/4,363,373
종로구,30~34세,2022. 3/4,388,403
종로구,30~34세,2023. 3/4,453,446
종로구,35~39세,2020. 3/4,354,308
종로구,35~39세,2021. 3/4,335,296
종로구,35~39세,2022. 3/4,371,345
종로구,35~39세,2023. 3/4,388,355
종로구,40~44세,2020. 3/4,328,258
종로구,40~44세,2021. 3/4,303,257
종로구,40~44세,2022. 3/4,357,274
종로구,40~44세,2023. 3/4,363,341
종로구,45~49세,2020. 3/4,259,238
종로구,45~49세,2021. 3/4,242,213
종로구,45~49세,2022. 3/4,273,239
종로구,45~49세,2023. 3/4,289,227
종로구,50~54세,2020. 3/4,286,243
종로구,50~54세,2021. 3/4,242,222
종로구,50~54세,2022. 3/4,242,231
종로구,50~54세,2023. 3/4,272,235
종로구,55~59세,2020. 3/4,275,326
종로구,55~59세,2021. 3/4,243,265
종로구,55~59세,2022. 3/4,238,234
종로구,55~59세,2023. 3/4,209,187
종로구,60~64세,2020. 3/4,162,180
종로구,60~64세,2021. 3/4,121,141
종로구,60~64세,2022. 3/4,140,156
종로구,60~64세,2023. 3/4,152,140
종로구,65~69세,2020. 3/4,67,43
종로구,65~69세,2021. 3/4,71,48
종로구,65~69세,2022. 3/4,81,60
종로구,65~69세,2023. 3/4,84,82
종로구,70~74세,2020. 3/4,30,24
종로구,70~74세,2021. 3/4,36,25
종로구,70~74세,2022. 3/4,35,31
종로구,70~74세,2023. 3/4,34,30
종로구,75~79세,2020. 3/4,11,8
종로구,75~79세,2021. 3/4,11,7
종로구,75~79세,2022. 3/4,10,5
종로구,75~79세,2023. 3/4,15,11
종로구,80~84세,2020. 3/4,8,4
종로구,80~84세,2021. 3/4,7,5
