센터명,위치,전화번호,개관일,위도,경도
서울외국인주민지원센터,영등포구 도신로 40 ,2229-4900,’14.9.1.,37.5047036,126.897392
서울이주여성상담센터,중구 마른내로 146(청일빌딩),733-0120,15.1.1.,37.5644862,127.0041286
서울시글로벌청소년교육센터,영등포구 문래로 164 SK리더스뷰 B동,2678-7191,22.1.1.,37.517436,126.8997884
빌리지센터(연남),마포구 동교로 219,6406-8151,’08. 1.31,37.55967415,126.9232532
빌리지센터(강남),강남구 역삼로7길 역삼문화센터 ,3453-9038,’08. 4.17,37.495188,127.0332163
빌리지센터(서래),서초구 서래로 28,2155-8915,’08. 6. 4,37.4974597,126.9985002
빌리지센터(이태원),용산구 이태원로 211,796-2460,’08. 7.14,37.5350276,126.997153
빌리지센터(이촌),용산구 이촌로 224,796-2018,’08. 7.14,37.5201633,126.9719462
빌리지센터(성북),성북구 성북로 134,920-3462,’09.11.29,37.5947922,126.9948632
빌리지센터(금천),금천구 가산로 116,2627-2884,’14. 9. 1,37.4768066,126.8918478
외국인노동자센터(성동),성동구 무학로 6길 47-1,2282-7974,’01.12.14,37.5649131,127.0355195
외국인노동자센터(금천),금천구 가산로 129,868-5208,’08. 3.13,37.476852,126.8917561
외국인노동자센터(은평),은평구 은평로 21길 14-26,359-3410,’08. 3.13,37.6026699,126.9317526
외국인노동자센터(강동),강동구 성안로 13길 56,478-2555,’08. 3.15,37.5321705,127.1293313
외국인노동자센터(성북),성북구 오패산로 16길 23,911-2884,’09. 4.30,37.6088767,127.0374712
외국인노동자센터(양천),양천구 신목로 16길 27,2643-7221,’09. 4.28,37.4939123,126.8968564
